scene, trans_err, rot_err, reproj_err, conf
s00473, 7.384827938099651, 115.11595127781703, 401.79464892169153, 0.0, 
s00523, 4.226882915588654, 39.55287621023813, 332.63199277333376, 0.0, 
s00495, 2.980649945085761, 90.15283996033106, 278.9968749185499, 0.0, 
s00500, 4.692801441290002, 152.58473345059986, 303.8925098937244, 0.0, 
s00512, 4.194671529236999, 128.7817363042874, 425.27701167509315, 0.0, 
s00483, 1.9887042747971226, 68.23099154618355, 340.53446779548386, 0.0, 
s00516, 4.685678950517173, 17.58594297461988, 329.54285871497365, 0.0, 
s00462, 4.671221090618581, 122.1465361312093, 292.8796671195565, 0.0, 
s00503, 3.8347290457686527, 87.2850279059315, 382.83336990444946, 0.0, 
s00504, 8.03197308300078, 90.20725632934631, 429.89891782943516, 0.0, 
s00465, 5.188340466092274, 23.228697467444366, 339.6805418416577, 0.0, 
s00522, 4.177601105615189, 132.0728242934589, 394.1606747123492, 0.0, 
s00498, 2.2012516861131024, 52.189298147138146, 367.9876838134339, 0.0, 
s00507, 4.632461141149603, 17.898223677293643, 283.08144589579285, 0.0, 
s00524, 2.9341273231680014, 114.86952187677016, 309.0052080495045, 0.0, 
s00490, 3.5566626321913897, 110.24475622270495, 446.12756657432226, 0.0, 
s00502, 3.062979213628718, 151.53710733469404, 416.3982092382066, 0.0, 
s00463, 4.590371199472964, 116.47872077669986, 326.78953088923333, 0.0, 
s00479, 3.9932208224375167, 74.60946084171664, 394.010338504491, 0.0, 
s00513, 2.8874401057652803, 82.24345664272153, 336.8125544568194, 0.0, 
s00501, 3.928234867027149, 39.64791348309479, 369.03371392168185, 0.0, 
s00482, 1.1867568469779817, 49.022617550997296, 301.1254264316424, 0.0, 
s00488, 2.929082457665465, 12.915938801832297, 401.94178265140874, 0.0, 
s00499, 6.10885981702063, 160.23308483125965, 377.3165386614629, 0.0, 
s00469, 2.6363875852235523, 31.463677528343663, 291.10094049127855, 0.0, 
s00464, 3.723572128616023, 62.06852047898688, 343.04805125904284, 0.0, 
s00520, 3.4657888421913814, 89.81646404235154, 392.75265989465515, 0.0, 
s00515, 7.693517759514528, 64.97387542590796, 295.24189446035854, 0.0, 
s00518, 4.150294929703421, 104.6726494036055, 273.06682851410704, 0.0, 
s00474, 4.737855516907951, 50.8841107952858, 318.53544138359666, 0.0, 
s00471, 4.670468991329697, 98.19016680793106, 369.0343859807998, 0.0, 
s00517, 6.867966939082569, 66.48466483127731, 312.06796590052693, 0.0, 
s00491, 5.049133097485596, 93.38499866094074, 230.99614903636927, 0.0, 
s00489, 5.4723934365268185, 148.34090748290208, 308.71826177771595, 0.0, 
s00470, 5.377395062188388, 92.88832988351759, 339.478590445725, 0.0, 
s00508, 3.8798395891732804, 42.54689441761464, 288.0602353811105, 0.0, 
s00505, 7.167290670936964, 70.40188791876639, 337.27017136185566, 0.0, 
s00492, 8.37015859929623, 43.156151375935885, 339.95544504566516, 0.0, 
s00475, 2.3823421388008557, 15.305877613727464, 348.9453292476976, 0.0, 
s00509, 4.560089111233591, 81.13816376347813, 343.831820436421, 0.0, 
s00497, 6.127318779677167, 121.83626617820208, 287.8636756372948, 0.0, 
s00472, 3.9296742206695203, 38.46815958270052, 325.94113134375266, 0.0, 
s00466, 2.542386855315928, 30.511549793860688, 303.08574958829854, 0.0, 
s00460, 3.5881552110678294, 57.166149020712496, 430.16108253030166, 0.0, 
s00519, 4.499252563646495, 63.179391009384005, 408.29186016021214, 0.0, 
s00480, 3.8686245314487806, 34.53550832113129, 304.1276395897579, 0.0, 
s00494, 3.1642223137915284, 91.36658939099713, 317.64965509690165, 0.0, 
s00510, 7.469380276849225, 161.6705558964411, 282.78103963382694, 0.0, 
s00487, 2.6629724914631803, 106.04911469963855, 319.26278410662144, 0.0, 
s00485, 3.8778359143885903, 34.1069889894186, 295.43993000211225, 0.0, 
s00468, 4.96736736367727, 127.26916073056219, 342.93905823909756, 0.0, 
s00476, 2.5241635783964793, 52.18621924483435, 304.39849130385534, 0.0, 
s00496, 4.363289489125773, 116.16832149962502, 359.3188058144807, 0.0, 
s00481, 3.041425797690273, 40.32167337690765, 290.2614068147522, 0.0, 
s00477, 1.6752439925720302, 70.87829684762443, 327.73983983793875, 0.0, 
s00467, 6.626988228330239, 17.00288345072351, 289.09999768073385, 0.0, 
s00461, 6.341974856033055, 109.14411175727456, 296.4948856655817, 0.0, 
s00478, 3.199555008589254, 20.370801627607825, 342.2034846616948, 0.0, 
s00484, 6.735573805785048, 139.88330967263983, 345.6766575382635, 0.0, 
s00506, 5.239754820101142, 87.64571485994497, 458.62070519960474, 0.0, 
s00521, 2.179700307395314, 102.50587959788584, 358.97634850692793, 0.0, 
s00514, 5.2568702611963705, 115.66157088169064, 325.815563863517, 0.0, 
s00511, 5.579860372846983, 12.748029962844347, 152.97665107885402, 0.0, 
s00493, 5.2578342568388905, 18.399759014008012, 395.3601695732385, 0.0, 
s00486, 2.4547274180752714, 97.10607926611843, 339.9028412528992, 0.0,

{
  "Average Median Translation Error": 4.39151041556171,
  "Average Median Rotation Error": 78.01130675602678,
  "Average Median Reprojection Error": 337.20380246962685,
  "Precision @ Pose Error < (25.0cm, 5deg)": 0.0009455626097528029,
  "AUC @ Pose Error < (25.0cm, 5deg)": 0.0009455626097528029,
  "Precision @ VCRE < 90px": 0.008915304606240713,
  "AUC @ VCRE < 90px": 0.008915304606240713,
  "Estimates for % of frames": 1.0
}
